"Thématiques","Critères","Accueil","Contact","Mentions légales","Accessibilité","Aide / Support","Accueil authentifé","Page formulaire",
"1","1","c","c","c","c","c","c","c",
"1","2","c","c","c","c","c","c","c",
"1","3","c","c","c","c","c","c","c",
"1","4","na","na","na","na","na","na","na",
"1","5","c","na","na","na","na","na","na",
"1","6","na","na","na","na","na","na","na",
"1","7","na","na","na","na","na","na","na",
"1","8","c","c","c","c","c","c","c",
"1","9","na","na","na","na","na","na","na",
"2","1","c","na","na","na","na","na","na",
"2","2","c|Le cadre ""Test reCAPTCHA"" en fin de page ne devrait-il pas être caché (https://www.numerique.gouv.fr/publications/rgaa-accessibilite/methode-rgaa/glossaire/#contenu-cache) lorsque le test (images diverses dans une grille ou son à transcrire) n'est plus visible ? Pour info, un article intéressant au sujet des captcha et de reCAPTCHA en particulier : https://www.w3.org/TR/turingtest/","na","na","na","na","na","na",
"3","1","c","c","c","c","c","c","c",
"3","2","c","c","c","c","c","c","c",
"3","3","c","c","c","c","c","c","c",
"4","1","na","na","na","na","na","na","na",
"4","2","na","na","na","na","na","na","na",
"4","3","na","na","na","na","na","na","na",
"4","4","na","na","na","na","na","na","na",
"4","5","na","na","na","na","na","na","na",
"4","6","na","na","na","na","na","na","na",
"4","7","na","na","na","na","na","na","na",
"4","8","na","na","na","na","na","na","na",
"4","9","na","na","na","na","na","na","na",
"4","10","na","na","na","na","na","na","na",
"4","11","na","na","na","na","na","na","na",
"4","12","na","na","na","na","na","na","na",
"4","13","na","na","na","na","na","na","na",
"5","1","na","na","na","na","na","na","na",
"5","2","na","na","na","na","na","na","na",
"5","3","na","na","na","na","na","na","na",
"5","4","na","na","na","na","na","na","na",
"5","5","na","na","na","na","na","na","na",
"5","6","na","na","na","na","na","na","na",
"5","7","na","na","na","na","na","na","na",
"5","8","na","na","na","na","na","na","na",
"6","1","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`",
"6","2","c","c","c","c","c","c","c",
"7","1","c","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.",
"7","2","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|Attention le grand public ne comprend peut-être pas le mot ""JavaScript"". Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html",
"7","3","c","c","c","c","c","c","c",
"7","4","c","c","c","c","c","c","c",
"7","5","c","c","c","c","c","c","c",
"8","1","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.","c|Note : il est inutile de spécifier `lang=""fr""` sur `<body>`, `<nav>` et `<main>`. Sur l'élément `<html>`cela suffit.",
"8","2","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.","nc|Quelques erreurs relevées par le validateur W3C. Par exemple, l'attribut `type=""opt-in""` dans un élément `<script>` est incorrect. Il y a aussi un élément `<script>` avec l'attribut `async=""""` (qui revient à la valeur `true`, cf. https://html.spec.whatwg.org/multipage/common-microsyntaxes.html#boolean-attributes) mais sans attribut `src`. Des ids vides aussi. etc.",
"8","3","c","c","c","c","c","c","c",
"8","4","c","c","c","c","c","c","c",
"8","5","c","c","c","c","c","c","c",
"8","6","c","c","c","c","c","c","c",
"8","7","na","na","na","na","na","na","na",
"8","8","na","na","na","na","na","na","na",
"8","9","c|Quelques `<br>` peut-être superflus","c","c","c","c","c","c",
"8","10","na","na","na","na","na","na","na",
"9","1","nc|Hiérarchie de titres valide par rapport aux relations parent-enfant mais le découpage (sur le fond) est étrange","c","c","c","c","c","c",
"9","2","c","c","c","c","c","c","c",
"9","3","c","c","nc|Certaines listes comme celle sous ""Identification de l'éditeur"" ou sous ""Gestionnaire statistique"" pourraient utiliser `<dl>`, `<dt>` et `<dd>`","c","c","c","c",
"9","4","na","na","na","na","na","na","na",
"10","1","c","c","c","c","c","c","c",
"10","2","c","c","c","c","c","c","c",
"10","3","c","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité (javascript désactivé + feuilles de style désactivées): ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""",
"10","4","nc|Sur firefox, lorsque l'on zoome seulement le texte, les textes du captcha sont tronqués","c","c","c","c","c","c",
"10","5","c","c","c","c","c","c","c",
"10","6","nc|""Une question sur FranceConnect ?"" devrait être souligné","c","c","c","c","c","c",
"10","7","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)","c|Attention le coutour du focus cache parfois légèrement le texte en dessous sur les bords extérieurs (gauche et droite)",
"10","8","c","c","c","c","c","c","c",
"10","9","c","c","c","c","c","c","c",
"10","10","c","c","c","c","c","c","c",
"10","11","c|Attention, pour des écrans de largeur inférieure à 320px (ex: JioPhone), certains éléments dépassent en largeur et la page est tronquée sur le côté droit lors de la fermeture du menu.","c","c","c","c","c","c",
"10","12","c","c","c","c","c","c","c",
"10","13","na","na","na","na","na","na","na",
"10","14","na","na","na","na","na","na","na",
"11","1","c","c","c","c","c","c","c",
"11","2","c","c","c","c","c","c","c",
"11","3","na","na","na","na","na","na","na",
"11","4","c","c","c","c","c","c","c",
"11","5","c","c","c","c","c","c","c",
"11","6","na","na","na","na","na","na","na",
"11","7","na","na","na","na","na","na","na",
"11","8","na","na","na","na","na","na","na",
"11","9","c","c","c","c","c","c","c",
"11","10","c","c","c","c","c","c","c",
"11","11","c","na","na","na","na","na","na",
"11","12","na","na","na","na","na","na","na",
"11","13","na","na","na","na","na","na","na",
"12","1","c","c","c","c","c","c","c",
"12","2","c|Attention le menu ","c","c","c","c","c","c",
"12","3","c","c","c","c","c","c","c",
"12","4","c","c","c","c","c","c","c",
"12","5","nc|La page de connexion ne devrait-elle pas aussi afficher le moteur de recherche ? (TODO: CHECK)","c","c","c","c","c","c",
"12","6","c","c","c","c","c","c","c",
"12","7","c","c","c","c","c","c","c",
"12","8","c","c","c","c","c","c","c",
"12","9","c","c","c","c","c","c","c",
"12","10","na","na","na","na","na","na","na",
"12","11","c","c","c","c","c","c","c",
"13","1","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|Test 13.1.4 échoue (pas de contrôle sur le temps de session)",
"13","2","c","c","c","c","c","c","c",
"13","3","na","c","c|À noter: certains documents PDF en téléchargement ne sont pas accessibles. Par exemple, la déclaration de la marque ""3939 Allo Service-public"" publiée sous le n° 113816378 [dérogation]","na","na","na","na",
"13","4","na","na","na","na","na","na","na",
"13","5","na","na","na","na","na","na","na",
"13","6","na","na","na","na","na","na","na",
"13","7","na","na","na","na","na","na","na",
"13","8","na","na","na","na","na","na","na",
"13","9","nc|Les liens ""Une question ?"" et ""Services en ligne et formulaires"" ne sont pas visibles au format mobile","c","c","c","c","c","c",
"13","10","na","na","na","na","na","na","na",
"13","11","na","na","na","na","na","na","na",
"13","12","na","na","na","na","na","na","na",
