Thématiques,Critères,Page d'Accueil|https://accessibilite.numerique.gouv.fr/,Page Accessibilité|https://accessibilite.numerique.gouv.fr/infos/accessibilite,Page Mentions légales|https://accessibilite.numerique.gouv.fr/infos/mentions-legales,Page Plan du site|https://accessibilite.numerique.gouv.fr/infos/plan-du-site,Page Nouveautés|https://accessibilite.numerique.gouv.fr/infos/nouveautes/,Page Critères et tests|https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/,Page Glossaire|https://accessibilite.numerique.gouv.fr/methode/glossaire/ ,Page Champ d’application|https://accessibilite.numerique.gouv.fr/obligations/champ-application/,Page Environnement de test|https://accessibilite.numerique.gouv.fr/methode/environnement-de-test/ ,Page Kits d’audits|https://accessibilite.numerique.gouv.fr/ressources/kit-audit/,,,,,
1,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
1,9,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
2,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
2,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
3,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
3,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
3,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,9,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,10,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,11,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,12,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
4,13,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
5,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
6,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
6,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
7,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
7,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
7,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
7,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
7,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
8,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
8,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
8,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
8,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
