Thématiques,Critères,Page d'Accueil|https://accessibilite.numerique.gouv.fr/,Page Accessibilité|https://accessibilite.numerique.gouv.fr/infos/accessibilite,Page Mentions légales|https://accessibilite.numerique.gouv.fr/infos/mentions-legales,Page Plan du site|https://accessibilite.numerique.gouv.fr/infos/plan-du-site,Page Nouveautés|https://accessibilite.numerique.gouv.fr/infos/nouveautes/,Page Critères et tests|https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/,Page Glossaire|https://accessibilite.numerique.gouv.fr/methode/glossaire/ ,Page Champ d’application|https://accessibilite.numerique.gouv.fr/obligations/champ-application/,Page Environnement de test|https://accessibilite.numerique.gouv.fr/methode/environnement-de-test/ ,Page Kits d’audits|https://accessibilite.numerique.gouv.fr/ressources/kit-audit/,Page Obligations|https://accessibilite.numerique.gouv.fr/obligations
1,1,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,2,c,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,3,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,4,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,5,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,6,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,7,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,8,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
1,9,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
2,1,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
2,2,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
3,1,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
3,2,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
3,3,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
4,1,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,2,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,3,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,4,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,5,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,6,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,7,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,8,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,9,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,10,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,11,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,12,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
4,13,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,1,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,2,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,3,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,4,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,5,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,6,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,7,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
5,8,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
6,1,nc,nc,nc,nt,nt,nt,nt,nt,nt,nt,nt
6,2,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
7,1,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
7,2,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
7,3,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
7,4,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
7,5,na,na,na,nt,nt,nt,nt,nt,nt,nt,nt
8,1,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
8,2,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
8,3,c,c,c,nt,nt,nt,nt,nt,nt,nt,nt
