Thématiques,Critères,Accueil|https://design.numerique.gouv.fr/,Contact|https://design.numerique.gouv.fr/contact/,Accessibilité|https://design.numerique.gouv.fr/misc/accessibilite/,Mentions légales|https://design.numerique.gouv.fr/misc/mentions-legales/,Accessibilité numérique|https://design.numerique.gouv.fr/accessibilite-numerique/		,Plan du site|https://design.numerique.gouv.fr/misc/plan-du-site/		,Accompagnement|https://design.numerique.gouv.fr/accompagnement/,Articles|https://design.numerique.gouv.fr/articles/,L'équipe|https://design.numerique.gouv.fr/a-propos/,Page des rôles-clés|https://design.numerique.gouv.fr/accessibilite-numerique/roles-cles/,Page détail d'un rôle-clé|https://design.numerique.gouv.fr/accessibilite-numerique/roles-cles/developer/,Page Commando UX|https://design.numerique.gouv.fr/commando-ux/,Page article|https://design.numerique.gouv.fr/articles/2021-03-21-evenement-design/,Newsletter|https://design.numerique.gouv.fr/newsletter,Le jeu de l'OAA|https://design.numerique.gouv.fr/accessibilite-numerique/jeu-de-oaa/
1,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
1,2,nc | Absence d'alternative textuelle sur les images de décoration dans les éléments <noscript>,na,na,na,c,na,c,nc | Absence d'alternative textuelle sur les images de décoration dans les éléments <noscript>,c,na,na,c,c,na,c
1,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
3,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
3,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
