Thématiques,Critères,Accueil|https://metiers.numerique.gouv.fr/,Mentions légales|https://metiers.numerique.gouv.fr/mentions-legales,Découvrez les emplois|https://metiers.numerique.gouv.fr/emplois,Détail d'une page d'offre d'emploi|https://metiers.numerique.gouv.fr/emploi/ingenieure-devops-24d627c1-418f-4dc4-9f96-5367b4446859,Détail d'une institution|https://metiers.numerique.gouv.fr/institution/dnum-des-ministeres-sociaux-travail-et-emploi-14f741d6-9042-49ab-b7aa-af5be60b9ced,Données personnelles|https://metiers.numerique.gouv.fr/donnees-personnelles-et-cookies,,
1,1,na,na,na,na,na,na,,
1,2,nc|Les images de décoration ont une alternative textuelle qui n'est pas ignorée par les TA,na,na,na,nc|Les images de décoration ont une alternative textuelle qui n'est pas ignorée par les TA,na,,
1,3,na,na,na,na,na,na,,
1,4,na,na,na,na,na,na,,
1,5,na,na,na,na,na,na,,
1,6,na,na,na,na,na,na,,
1,7,na,na,na,na,na,na,,
1,8,na,na,na,na,na,na,,
1,9,na,na,na,na,na,na,,
2,1,na,na,na,na,na,nc|Absence de titre de cadre,,
2,2,na,na,na,na,na,na,,
3,1,c,c,c,c,c,c,,
3,2,"nc|Le contraste des titres `<h4>` de la partie ""Rencontres"" n'est pas assez élevé (ratio de 1.8)",c,"nc| Le contraste de couleur de la référence de l'annonce n'est pas assez contrasté (ratio de 2,6)",c,c,c,,
3,3,"nc|Le contraste des liens ""Voir la vidéo"" de la partie ""Rencontres"" n'est pas assez élevé (ratio de 1.8)",c,c,"nc | Le contraste entre les coches des listes et l'arrière plan de la page n'est pas assez élevé (ratio de 2,7)",na,c,,
4,1,na,na,na,na,na,na,,
4,2,na,na,na,na,na,na,,
4,3,"na| Note : Pour les personnes à la fois sourdes et malvoyantes, les sous-titres incrustés sont peu lisibles car pixellisés quand on les grossit : des sous-titres indépendants peuvent permettre une adaptation (agrandissement sans pixellisation, amélioration du contraste, personnalisation des couleurs, de la police d'écriture,… ) | Pour pouvoir ajouter et gérer les sous-titres : https://faq.dailymotion.com/hc/fr/articles/115008943907-Ajouter-et-g%C3%A9rer-les-sous-titres",na,na,na,na,na,,
4,4,na,na,na,na,na,na,,
4,5,na,na,na,na,na,na,,
4,6,na,na,na,na,na,na,,
4,7,na,na,na,na,na,na,,
4,8,na,na,na,na,na,na,,
4,9,na,na,na,na,na,na,,
4,10,na,na,na,na,na,na,,
4,11,na,na,na,na,na,na,,
4,12,na,na,na,na,na,na,,
4,13,na,na,na,na,na,na,,
5,1,na,na,na,na,na,na,,
5,2,na,na,na,na,na,na,,
5,3,na,na,na,na,na,na,,
5,4,na,na,na,na,na,na,,
5,5,na,na,na,na,na,na,,
5,6,na,na,na,na,na,na,,
5,7,na,na,na,na,na,na,,
5,8,na,na,na,na,na,na,,
6,1,"nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien avec les technologies d'assistance (TA). Par exemple ""Accueil - metiers.numerique.gouv.fr"" |  Les icônes présentes dans les liens peuvent être restituées par les TA, les isoler dans un élément HTML avec un `aria-hidden=""true""` | Note : Les intitulés de lien ""Voir la vidéo"" sont explicites par le contexte, on peut améliorer l'intitulé lui même en ajoutant un attribut _title_, par exemple, 'title=""Voir la vidéo de Marine (nouvelle fenêtre)""' | ","nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien. Par exemple ""Accueil - metiers.numerique.gouv.fr"" | Les icônes présentes dans les liens peuvent être restituées par les TA, les isoler dans un élément HTML avec un `aria-hidden=""true""`","nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien. Par exemple ""Accueil - metiers.numerique.gouv.fr""|L'icône du lien ""Déposez une candidature"" est susceptible d'être lue par les TA, ajouter un `aria-hidden=""true"" sur l'élément <i>`, Les icônes des métadonnées de l'offre sont susceptibles d'être lues par les TA, ajouter un `aria-hidden=""true"" sur les éléments <i>`et mettre un libellé textuel caché visuellement| Les liens de _tags_ (expérience, etc…) ne sont pas explicites | Le lien ""Lire l'offre d'emploi!"" est explicite par le contexte, si possible ajouter en texte caché visuellement le libellé de l'annonce, par exemple [Lire l'annonce!] - [nom du poste] |  Les icônes présentes dans les liens peuvent être restituées par les TA, les isoler dans un élément HTML avec un `aria-hidden=""true""` ","nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien. Par exemple ""Accueil - metiers.numerique.gouv.fr""| Les icônes présentes dans les liens peuvent être restituées par les TA, les isoler dans un élément HTML avec un `aria-hidden=""true""`","nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien. Par exemple ""Accueil - metiers.numerique.gouv.fr""","nc|Le lien ""République Française"" en pied de page n'est pas explicite, ajouter un intitulé permettant de comprendre la destination du lien. Par exemple ""Accueil - metiers.numerique.gouv.fr""| Les icônes présentes dans les liens peuvent être restituées par les TA, les isoler dans un élément HTML avec un `aria-hidden=""true""`",,
6,2,c,c,c,c,c,c,,
